goals-a,shots-a,shots conceded-a,goals conceded-a,bpm-a,avg boost amount-a,amount collected-a,amount collected big pads-a,amount collected small pads-a,count collected big pads-a,count collected small pads-a,amount stolen-a,amount stolen big pads-a,amount stolen small pads-a,count stolen big pads-a,count stolen small pads-a,amount used while supersonic-a,amount overfill total-a,amount overfill stolen-a,avg speed-a,total distance-a,percentage slow speed-a,percentage boost speed-a,percentage supersonic speed-a,percentage on ground-a,percentage low in air-a,percentage high in air-a,count powerslide-a,avg distance to ball-a,avg distance to ball has possession-a,avg distance to ball no possession-a,percentage behind ball-a,percentage in front of ball-a,percentage defensive half-a,percentage offensive half-a,percentage defensive third-a,percentage neutral third-a,percentage offensive third-a,demos inflicted-a,demos taken-a,bpm-b,avg boost amount-b,amount collected-b,amount collected big pads-b,amount collected small pads-b,count collected big pads-b,count collected small pads-b,amount stolen-b,amount stolen big pads-b,amount stolen small pads-b,count stolen big pads-b,count stolen small pads-b,amount used while supersonic-b,amount overfill total-b,amount overfill stolen-b,avg speed-b,total distance-b,percentage slow speed-b,percentage boost speed-b,percentage supersonic speed-b,percentage on ground-b,percentage low in air-b,percentage high in air-b,count powerslide-b,avg distance to ball-b,avg distance to ball has possession-b,avg distance to ball no possession-b,percentage behind ball-b,percentage in front of ball-b,percentage defensive half-b,percentage offensive half-b,percentage defensive third-b,percentage neutral third-b,percentage offensive third-b,demos inflicted-b,demos taken-b
3.0,11.0,7.0,1.0,419.0,46.38,2294.5,1753.5,541.0,20.5,47.5,726.5,481.5,245.0,5.5,21.5,317.5,273.0,67.5,1572.5,502797.5,46.53,40.04,19.48,59.61,43.47,5.75,35.0,2379.5,2296.0,2489.5,76.98,32.41,56.68,53.32,40.07,34.27,37.19,2.0,0.0,422.0,48.675,2236.0,1741.0,495.0,20.5,45.0,528.0,364.5,163.5,4.0,14.0,231.5,283.0,35.0,1491.5,469689.5,49.95,36.56,17.52,58.52,46.11,3.93,94.5,2245.0,1977.0,2431.5,71.88,31.06,67.16,33.1,50.09,32.81,17.94,0.0,2.0
1.0,5.0,7.0,4.0,386.0,48.355,2079.0,1488.0,591.0,17.5,52.0,338.0,188.0,150.0,2.5,12.5,295.0,268.0,61.0,1555.0,466596.5,46.76,42.55,15.65,56.12,42.42,6.16,51.0,2456.5,2320.5,2587.0,69.32,31.03,70.92,32.54,58.55,29.12,18.64,0.0,1.5,471.5,48.95,2479.5,1825.5,654.0,22.0,56.0,706.5,480.5,226.0,5.5,18.0,368.5,391.5,71.5,1611.5,491713.5,44.21,42.96,21.52,61.08,40.7,4.64,61.5,2508.5,2513.5,2551.0,78.34,24.31,57.68,43.84,40.9,34.87,27.42,1.5,0.0
3.0,5.0,11.0,6.0,487.5,49.565,3028.0,2436.0,592.0,29.5,53.5,404.0,245.0,159.0,3.0,16.0,667.5,480.5,64.0,1623.5,560636.0,46.43,35.88,25.24,60.49,39.37,7.44,57.5,2554.5,2192.5,2934.0,71.2,34.27,65.19,37.76,49.08,34.09,22.19,2.0,0.5,408.0,42.08,2367.5,1729.0,638.5,20.5,56.5,357.5,179.5,178.0,2.0,15.5,466.0,325.0,14.5,1553.0,530370.5,46.74,41.72,20.23,59.55,37.88,6.83,66.0,2349.0,2030.5,2656.5,77.8,27.73,66.97,37.57,48.04,34.15,19.8,0.5,2.0
1.0,6.0,4.0,2.0,374.5,57.255,2181.5,1741.5,440.0,22.5,35.5,473.0,280.5,192.5,3.5,13.0,201.5,440.5,69.0,1567.0,503867.0,46.56,43.18,19.04,53.6,48.95,7.62,37.5,2398.0,2208.5,2587.5,73.72,29.2,61.8,38.36,43.82,34.29,24.01,1.5,1.0,375.0,45.265,2034.0,1390.0,644.0,17.5,49.0,418.5,229.0,189.5,2.5,16.5,258.0,365.0,23.0,1494.5,476284.5,50.65,40.41,13.11,62.93,41.48,4.97,43.5,2737.0,2358.5,3053.0,76.75,30.09,73.17,34.94,57.29,32.08,20.38,1.0,1.5
4.0,13.0,11.0,6.0,399.5,49.985,2594.0,2011.5,582.5,25.5,53.0,608.5,331.5,277.0,4.0,24.5,413.5,384.5,37.5,1570.5,555297.0,49.88,42.84,15.76,59.44,40.36,4.09,44.5,2609.5,2483.0,2720.5,71.54,30.58,57.38,42.92,42.81,30.09,28.18,1.5,1.0,420.5,47.755,2609.0,1889.0,720.0,20.5,63.5,416.5,235.5,181.0,2.5,16.0,306.0,172.0,16.5,1490.5,523902.0,50.49,37.46,13.27,60.72,44.71,7.69,33.0,2431.0,2279.0,2575.0,79.41,28.41,70.26,31.94,55.94,28.09,18.41,1.0,1.5
5.0,7.0,14.0,6.0,437.0,52.595,3104.5,2504.5,600.0,32.5,53.5,576.0,448.0,128.0,6.0,12.5,547.5,624.0,116.5,1551.5,596649.0,48.12,42.04,16.26,58.65,38.08,6.42,37.5,2579.5,2369.0,2875.0,72.26,29.09,72.08,29.28,55.45,26.84,18.46,2.0,0.5,267.5,49.30500000000001,1929.5,1140.5,789.0,16.0,70.5,391.5,173.0,218.5,3.0,19.0,174.0,486.0,128.0,1457.5,555605.5,55.69,38.52,7.06,67.4,38.87,3.3,44.5,2607.0,2452.0,2718.5,82.46,20.88,64.29,36.59,48.89,34.92,19.96,0.5,2.0
1.0,4.0,12.0,3.0,386.5,59.025,2068.0,1513.5,554.5,21.0,44.5,456.5,279.0,177.5,3.0,11.5,309.0,458.0,21.0,1523.5,469815.0,54.88,41.04,22.21,64.65,39.16,5.95,55.0,2469.5,2342.5,2596.0,74.61,34.09,74.45,34.41,56.01,34.42,18.55,0.0,1.0,361.5,57.155,1957.5,1436.5,521.0,18.0,49.0,433.5,276.0,157.5,3.5,15.0,274.5,364.0,47.0,1506.0,469296.5,50.52,39.2,15.25,60.84,38.1,4.73,47.5,2673.5,2479.5,2881.5,84.28,20.61,66.52,46.54,50.87,35.08,29.51,1.0,0.0
2.0,9.0,12.0,1.0,388.5,51.765,2137.5,1514.0,623.5,19.0,51.5,251.5,116.0,135.5,1.5,12.5,318.5,322.5,34.0,1459.5,466606.0,59.68,41.62,16.75,60.74,42.86,4.18,29.0,2194.0,2179.5,2206.0,71.72,30.65,76.16,29.3,62.41,25.58,16.43,1.5,0.5,391.5,54.45,2291.5,1872.0,419.5,23.0,37.0,432.0,245.0,187.0,3.5,16.5,408.0,435.0,110.0,1492.5,472230.5,48.45,43.14,16.95,61.38,36.92,4.96,40.0,2383.5,2304.5,2458.5,75.34,28.1,50.02,51.61,37.78,31.43,34.6,0.5,1.5
2.0,4.0,8.0,3.0,403.0,53.26,2451.0,1936.0,515.0,23.5,45.5,425.0,289.0,136.0,3.5,12.0,358.5,346.0,64.0,1469.5,489274.0,57.89,37.69,16.78,62.88,44.86,4.32,30.5,2243.5,2051.5,2377.0,70.63,34.19,73.12,31.14,60.15,26.42,19.57,1.0,1.0,385.5,45.61,2261.5,1678.0,583.5,20.0,52.5,557.5,296.0,261.5,4.0,23.0,152.0,290.0,64.5,1446.5,479651.0,49.99,45.01,12.93,56.02,41.4,4.36,47.0,2426.0,2355.5,2477.0,77.53,24.26,57.67,50.64,43.55,35.66,30.65,1.0,1.0
2.0,4.0,9.0,6.0,408.5,54.35,2440.0,1893.0,547.0,26.5,48.5,385.0,209.5,175.5,3.5,15.5,372.0,448.0,25.0,1514.0,506082.0,53.59,40.78,20.87,63.59,42.94,4.99,34.5,2363.5,2200.5,2442.0,66.55,34.75,63.92,36.72,47.61,33.13,21.78,0.0,0.0,368.0,49.870000000000005,2287.5,1575.0,712.5,18.5,63.0,325.5,100.0,225.5,1.0,20.0,246.5,292.5,12.5,1560.5,524093.0,50.48,46.92,15.05,59.1,41.0,3.89,101.5,2467.0,2297.5,2609.5,79.66,22.24,63.33,37.08,47.9,34.48,24.51,0.0,0.0
0.0,6.0,11.0,3.0,364.5,49.245000000000005,2029.0,1468.0,561.0,18.5,45.5,417.5,231.5,186.0,3.5,13.0,293.5,277.0,79.0,1479.0,476891.5,57.45,40.94,18.78,58.49,42.17,3.5,36.5,2510.0,2186.0,2737.0,72.31,32.18,69.25,31.37,56.4,26.22,19.07,2.0,0.0,336.0,52.925,1932.5,1453.0,479.5,20.0,42.5,278.5,110.5,168.0,1.5,15.0,178.0,561.0,40.0,1451.0,458685.0,55.15,41.59,12.71,63.68,36.22,5.35,33.0,2451.0,2342.0,2592.0,82.37,19.14,55.52,44.84,40.03,35.09,27.15,0.0,2.0
3.0,10.0,5.0,2.0,411.5,50.36,2337.5,1795.0,542.5,22.5,49.0,562.5,390.5,172.0,4.5,15.5,229.5,371.5,61.5,1583.0,528142.5,47.92,45.14,20.46,57.4,40.82,6.7,40.0,2620.5,2515.5,2740.0,78.51,34.08,58.74,49.38,44.58,37.0,30.12,0.0,0.0,361.5,54.045,2132.5,1432.5,700.0,18.5,63.0,445.5,283.5,162.0,3.5,15.0,199.5,448.5,70.5,1476.5,492334.0,54.59,44.41,13.73,61.4,36.38,5.16,43.5,2346.0,2216.5,2458.0,78.17,33.69,71.82,34.94,55.01,32.13,21.06,0.0,0.0
5.0,9.0,13.0,4.0,340.5,52.43,2648.0,1919.5,728.5,24.0,65.0,478.0,276.0,202.0,3.0,19.0,399.5,405.0,18.5,1426.0,603545.5,60.76,35.57,16.9,61.84,39.92,4.26,48.0,2403.0,2147.5,2704.5,76.74,28.91,70.83,30.93,58.53,27.86,17.34,2.0,0.0,428.0,44.61,3119.5,2318.5,801.0,26.5,68.0,642.5,366.0,276.5,4.0,26.0,384.0,351.0,37.0,1492.5,621818.5,49.28,43.6,16.16,65.71,40.37,1.85,52.5,2457.0,2183.0,2680.5,77.26,23.23,60.05,40.07,45.24,34.65,25.85,0.0,2.0
