goals-a,shots-a,shots conceded-a,goals conceded-a,bpm-a,avg boost amount-a,amount collected-a,amount collected big pads-a,amount collected small pads-a,count collected big pads-a,count collected small pads-a,amount stolen-a,amount stolen big pads-a,amount stolen small pads-a,count stolen big pads-a,count stolen small pads-a,amount used while supersonic-a,amount overfill total-a,amount overfill stolen-a,avg speed-a,total distance-a,percentage slow speed-a,percentage boost speed-a,percentage supersonic speed-a,percentage on ground-a,percentage low in air-a,percentage high in air-a,count powerslide-a,avg distance to ball-a,avg distance to ball has possession-a,avg distance to ball no possession-a,percentage behind ball-a,percentage in front of ball-a,percentage defensive half-a,percentage offensive half-a,percentage defensive third-a,percentage neutral third-a,percentage offensive third-a,demos inflicted-a,demos taken-a,bpm-b,avg boost amount-b,amount collected-b,amount collected big pads-b,amount collected small pads-b,count collected big pads-b,count collected small pads-b,amount stolen-b,amount stolen big pads-b,amount stolen small pads-b,count stolen big pads-b,count stolen small pads-b,amount used while supersonic-b,amount overfill total-b,amount overfill stolen-b,avg speed-b,total distance-b,percentage slow speed-b,percentage boost speed-b,percentage supersonic speed-b,percentage on ground-b,percentage low in air-b,percentage high in air-b,count powerslide-b,avg distance to ball-b,avg distance to ball has possession-b,avg distance to ball no possession-b,percentage behind ball-b,percentage in front of ball-b,percentage defensive half-b,percentage offensive half-b,percentage defensive third-b,percentage neutral third-b,percentage offensive third-b,demos inflicted-b,demos taken-b
2.0,6.0,3.0,0.0,448.0,53.22,2310.5,1848.0,462.5,22.0,41.5,450.5,276.5,174.0,3.5,16.0,396.0,285.0,77.5,1504.0,451770.0,54.32,41.96,25.34,59.05,40.95,5.77,54.5,2664.5,2458.0,2855.5,79.82,29.26,64.66,44.01,44.07,38.49,28.98,1.5,0.5,401.0,49.08,2011.0,1413.5,597.5,17.5,54.0,348.5,201.5,147.0,2.5,13.0,251.0,338.0,51.0,1498.5,444958.5,48.53,41.84,17.39,58.43,38.92,4.48,44.0,2542.0,2255.5,2792.5,71.43,33.06,72.18,39.74,51.87,36.67,21.6,0.5,1.5
8.0,11.0,6.0,4.0,401.0,46.36,2403.0,1857.5,545.5,20.5,48.5,469.5,260.5,209.0,3.0,18.0,256.0,199.0,44.0,1507.0,550755.5,52.47,40.24,16.72,61.58,41.15,5.82,45.0,2606.5,2595.5,2612.5,75.8,24.94,63.75,38.55,49.78,27.16,25.72,1.0,0.5,332.0,49.64,2356.0,1809.0,547.0,22.5,47.5,574.0,405.5,168.5,5.0,15.0,581.5,403.0,95.5,1457.0,531588.0,54.86,38.42,11.3,65.86,32.94,7.02,29.5,2318.0,1968.5,2593.0,73.94,34.6,69.13,35.95,52.55,31.57,21.72,0.5,1.0
3.0,5.0,9.0,4.0,418.0,48.745000000000005,2525.0,2009.5,515.5,22.0,43.0,673.0,435.5,237.5,4.5,18.0,336.0,203.0,22.0,1514.5,514790.0,57.55,40.99,20.59,59.03,41.43,5.41,48.0,2754.0,2540.0,2955.5,71.24,32.74,56.4,45.5,39.3,33.71,29.1,1.0,0.0,374.5,51.985,2443.0,1913.0,530.0,25.0,48.0,559.0,420.0,139.0,5.0,13.0,314.0,601.5,81.0,1528.0,512292.0,51.13,42.19,14.01,54.66,40.94,4.87,30.5,2443.0,2311.0,2580.5,77.46,28.43,71.5,29.33,53.95,31.81,15.6,0.0,1.0
5.0,14.0,9.0,4.0,411.0,49.84,3406.0,2775.5,630.5,33.5,56.5,817.0,579.0,238.0,7.0,21.0,652.0,500.0,111.5,1505.0,738523.0,55.19,39.08,20.14,61.95,41.47,5.33,68.5,2622.5,2641.0,2591.5,76.24,33.11,61.11,39.52,45.1,31.62,23.77,1.0,1.5,396.5,48.245000000000005,3294.0,2304.0,990.0,27.0,84.0,754.5,511.0,243.5,5.5,22.0,504.5,422.0,38.5,1499.0,738869.0,52.13,41.89,14.31,59.71,44.66,5.37,76.0,2310.0,2117.0,2449.5,73.04,29.39,65.28,36.19,46.71,34.47,20.46,1.5,1.0
3.0,9.0,5.0,2.0,383.5,53.185,1819.0,1360.0,459.0,17.5,41.0,384.0,271.0,113.0,3.5,10.0,263.5,333.0,72.0,1552.0,404482.0,49.87,43.4,21.04,63.07,37.61,7.86,32.0,2677.5,2463.0,2880.5,80.05,36.15,68.67,40.98,52.95,37.4,24.72,0.5,0.0,360.5,48.985,1679.0,1395.0,284.0,17.5,25.5,418.5,368.5,50.0,5.0,4.5,341.0,358.0,130.5,1528.0,394595.0,48.3,40.89,18.37,58.6,40.13,6.97,49.5,2240.5,2126.5,2282.5,68.24,34.16,64.69,41.59,46.18,31.9,28.62,0.0,0.5
5.0,9.0,10.0,4.0,390.0,50.39,2508.5,1980.0,528.5,23.5,45.0,540.5,365.5,175.0,4.0,16.5,331.5,284.5,24.5,1550.0,577024.0,55.11,42.09,21.88,62.44,40.99,8.83,52.0,2603.0,2287.5,2860.5,70.65,31.04,63.18,37.83,49.26,39.88,25.17,0.5,0.5,422.0,54.7,2826.0,2220.0,606.0,28.0,55.5,583.5,387.0,196.5,5.0,18.5,233.0,535.0,118.0,1529.5,571061.5,52.11,41.16,16.63,57.83,39.24,6.26,109.0,2325.5,2182.0,2527.0,75.61,25.92,65.96,39.39,47.28,34.73,20.39,0.5,0.5
2.0,5.0,7.0,3.0,362.0,47.685,2167.5,1622.5,545.0,21.0,48.5,558.0,332.5,225.5,3.5,19.0,177.0,417.5,16.0,1522.5,505308.0,54.96,42.23,19.4,57.75,47.95,4.24,50.0,2719.5,2419.0,2947.0,73.19,28.83,62.84,38.29,49.5,27.9,25.68,0.0,0.0,352.5,60.275,2163.0,1706.0,457.0,22.5,47.5,572.5,430.5,142.0,5.0,14.0,270.0,647.0,95.0,1420.5,471302.0,59.1,36.21,11.77,62.65,35.88,8.31,46.5,2215.0,2112.5,2347.0,79.58,27.46,64.27,36.03,49.21,30.42,23.25,0.0,0.0
7.0,11.0,7.0,4.0,358.5,48.845,2005.0,1629.5,375.5,18.5,36.0,342.5,230.5,112.0,2.5,11.0,332.0,222.0,1.5,1529.0,435114.5,56.79,42.84,16.33,64.53,46.61,4.24,31.0,2756.0,2547.5,2934.5,83.5,25.53,69.14,32.75,53.32,33.21,16.53,0.0,1.0,476.5,45.11,2611.5,2089.5,522.0,23.0,49.0,453.0,284.5,168.5,3.5,15.5,491.0,237.0,73.0,1575.5,504921.0,48.51,38.41,16.89,62.23,39.01,6.53,40.0,2488.5,2251.5,2704.5,76.94,38.08,69.32,39.81,53.8,39.1,22.16,1.0,0.0
4.0,6.0,8.0,3.0,362.0,53.94,2497.5,1874.0,623.5,23.0,54.5,612.5,343.0,269.5,4.0,21.0,409.0,363.0,37.5,1464.5,559762.5,58.86,36.22,16.85,62.59,41.87,7.03,51.5,2496.5,2405.0,2583.0,76.28,30.74,65.21,39.99,50.31,29.86,22.02,1.5,2.0,448.0,47.96,3121.0,2347.5,773.5,28.5,61.0,636.0,432.0,204.0,6.0,18.0,604.5,508.0,169.0,1547.0,595713.0,44.01,41.81,17.64,62.94,41.76,3.9,60.5,2769.5,2570.0,2950.5,78.48,24.7,71.78,35.96,54.43,29.69,22.84,2.0,1.5
4.0,6.0,7.0,2.0,388.0,53.275000000000006,2098.0,1647.5,450.5,20.0,36.5,387.0,257.5,129.5,3.0,11.5,341.5,201.5,47.0,1529.5,484942.5,54.02,44.08,22.47,61.14,46.0,5.41,43.0,2626.0,2567.0,2715.0,76.61,29.77,68.3,39.24,51.59,31.95,23.33,0.5,1.5,375.5,52.255,2093.5,1481.5,612.0,19.0,51.0,577.0,362.5,214.5,4.5,19.5,335.0,432.5,95.0,1545.5,495510.5,47.29,41.45,15.1,65.82,36.71,4.73,42.0,2486.0,2190.5,2810.5,71.82,31.14,62.39,40.24,43.66,32.77,25.81,1.5,0.5
