color,team name,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,file_name
blue,,Daniel-Dol,PS4,Daniel-Dol,403,Dominus,340,412,0,0,3,5,11,3,1,0.0,427,53.61,2408,1946,462,25,43,781,629,152,7,13,26.63,77.89,330,496,70,1513,481362,161.95,48.08,115.9,34.41,59.01,17.52,197.12,58.52,129.65,38.49,10.08,2.99,8.61,0.1,87,176.2,155.2,2303,2018,2505,242.14,71.88,94.71,28.12,226.23,67.16,110.63,32.84,168.72,50.09,108.4,32.18,59.74,17.73,0,1,csv_1.csv
blue,,Ururz,XBox,08b3f30c00000900,23,Octane,340,292,1,0,1,2,11,3,2,50.0,417,43.74,2064,1536,528,16,47,275,100,175,1,15,58.06,20.66,133,70,0,1470,458017,165.32,49.95,120.98,36.56,44.65,13.49,165.35,49.96,152.58,46.11,13.01,3.93,7.81,0.08,102,157.9,167.1,2187,1936,2358,228.15,68.94,102.8,31.06,221.39,66.9,109.55,33.1,162.99,49.25,108.58,32.81,59.38,17.94,0,3,csv_1.csv
orange,,italic,Steam,76561198021360335,23,Octane,340,497,2,0,1,6,7,1,1,33.33,462,48.7,2421,1938,483,22,43,1029,735,294,8,26,57.34,30.2,474,209,64,1638,523768,138.95,40.86,134.89,39.67,66.23,19.48,172.67,50.77,147.84,43.47,19.56,5.75,4.97,0.14,36,128.1,194.9,2364,2061,2746,229.87,67.59,110.2,32.41,158.75,46.68,181.32,53.32,116.38,34.22,97.22,28.59,126.47,37.19,4,0,csv_1.csv
orange,,Roxxy,Steam,76561198452529506,23,Octane,340,438,1,1,2,5,7,1,0,20.0,376,44.06,2168,1569,599,19,52,424,228,196,3,17,62.58,26.23,161,337,71,1507,481827,157.8,46.53,135.78,40.04,45.56,13.43,202.15,59.61,133.91,39.49,3.07,0.91,5.61,0.16,34,194.9,127.1,2395,2531,2233,261.07,76.98,78.07,23.02,192.21,56.68,146.92,43.32,135.89,40.07,116.21,34.27,87.04,25.66,0,0,csv_1.csv
blue,,italic,Steam,76561198021360335,23,Octane,324,404,1,0,2,4,7,4,3,25.0,433,51.12,2278,1651,627,19,55,496,316,180,4,15,27.48,51.0,309,262,83,1601,474750,131.75,41.79,134.14,42.55,49.34,15.65,162.09,51.42,133.73,42.42,19.41,6.16,4.94,0.12,41,163.8,142.9,2427,2339,2503,217.42,68.97,97.81,31.03,223.57,70.92,91.66,29.08,184.56,58.55,76.56,24.29,54.12,17.17,0,3,csv_10.csv
blue,,XONOO,Steam,76561199007487124,23,Octane,324,361,0,0,3,1,7,4,1,0.0,339,45.59,1880,1325,555,16,49,180,60,120,1,10,34.04,20.49,281,274,39,1509,458443,151.36,46.76,131.71,40.69,40.61,12.55,181.64,56.12,131.84,40.73,10.2,3.15,12.22,0.2,61,150.5,166.9,2486,2302,2671,224.37,69.32,99.31,30.68,218.34,67.46,105.33,32.54,169.06,52.23,94.27,29.12,60.35,18.64,0,0,csv_10.csv
orange,,Potts is my dad,Epic,fd0ee697831e4681a3e88427a420a160,23,Octane,324,551,3,0,1,5,5,1,0,60.0,520,47.46,2746,1898,848,22,71,754,400,354,4,27,37.56,25.61,604,316,5,1669,508350,115.2,35.51,139.36,42.96,69.82,21.52,198.12,61.08,112.04,34.54,14.22,4.38,8.18,0.12,70,160.5,145.6,2775,2749,2836,254.11,78.34,70.27,21.66,182.16,56.16,142.22,43.84,130.99,40.38,104.43,32.19,88.96,27.42,1,0,csv_10.csv
orange,,rix,Steam,76561198062654243,23,Octane,324,506,1,2,1,2,5,1,1,50.0,423,50.44,2213,1753,460,22,41,659,561,98,7,9,37.75,26.19,133,467,138,1554,475077,143.4,44.21,139.09,42.88,41.89,12.91,177.29,54.65,132.04,40.7,15.06,4.64,6.14,0.12,53,145.0,160.0,2242,2278,2266,245.53,75.69,78.85,24.31,187.11,57.68,137.27,42.32,132.66,40.9,113.11,34.87,78.6,24.23,2,0,csv_10.csv
blue,,Skydowzz.,Epic,faccb712b20c43d9bf2a1d9396447958,23,Octane,391,794,3,2,2,7,5,3,1,42.86,445,42.11,2563,2016,547,24,48,359,178,181,2,15,50.13,31.74,625,368,0,1551,523199,175.98,46.74,124.34,33.03,76.16,20.23,209.57,55.67,142.59,37.88,24.31,6.46,4.11,0.06,64,179.3,184.8,2295,1912,2676,292.89,77.8,83.58,22.2,252.14,66.97,124.34,33.03,180.87,48.04,121.51,32.28,74.09,19.68,1,3,csv_100.csv
blue,,joueurdebagnole,Epic,1ea5b63dea194a13852b3db6b985f307,23,Octane,391,537,3,0,0,4,5,3,2,75.0,371,42.05,2172,1442,730,17,65,356,181,175,2,16,41.58,23.83,307,282,29,1555,537542,174.64,45.08,161.62,41.72,51.12,13.2,230.7,59.55,130.24,33.62,26.44,6.83,7.65,0.11,68,188.7,186.3,2403,2149,2637,279.96,72.27,107.43,27.73,241.83,62.43,145.55,37.57,178.39,46.05,132.28,34.15,76.72,19.8,0,1,csv_100.csv
orange,,Itachimann.,Epic,b18c69287fd743a19e285e17881d12e5,23,Octane,391,672,2,0,3,3,11,6,2,66.67,552,45.06,3391,2696,695,33,62,450,242,208,3,22,61.03,52.84,794,623,77,1684,591632,151.76,38.87,140.09,35.88,98.54,25.24,207.64,53.19,153.71,39.37,29.04,7.44,5.21,0.08,69,183.3,192.5,2434,2147,2733,277.97,71.2,112.42,28.8,242.96,62.24,147.43,37.76,170.67,43.72,133.09,34.09,86.63,22.19,2,0,csv_100.csv
orange,,italic,Steam,76561198021360335,23,Octane,391,355,1,0,1,2,11,6,4,50.0,423,54.07,2665,2176,489,26,45,358,248,110,3,10,37.26,33.42,541,338,51,1563,529640,179.63,46.43,134.68,34.81,72.54,18.75,234.0,60.49,132.95,34.37,19.9,5.14,6.33,0.14,46,186.2,179.0,2675,2238,3135,254.29,65.73,132.56,34.27,252.18,65.19,134.67,34.81,189.86,49.08,111.56,28.84,85.43,22.08,2,1,csv_100.csv
blue,,Grimmjow_rissu,Epic,572900174e6f43c88ec5f6753927e71d,23,Octane,340,463,2,0,0,4,6,1,1,50.0,352,40.17,1888,1105,783,12,60,308,100,208,1,18,48.17,25.85,151,102,1,1500,477872,155.19,46.48,134.91,40.41,43.78,13.11,183.17,54.86,138.5,41.48,12.21,3.66,4.86,0.14,34,147.4,183.0,2826,2530,3087,233.41,69.91,100.47,30.09,217.23,65.06,116.65,34.94,158.71,47.54,107.12,32.08,68.05,20.38,0,2,csv_1000.csv
blue,,vi ll e,Steam,76561199000277466,4284,Fennec,340,420,0,1,3,0,6,1,0,0.0,398,50.36,2180,1675,505,23,38,529,358,171,4,15,51.81,49.7,365,628,45,1489,474697,170.64,50.65,124.04,36.82,42.19,12.52,212.0,62.93,108.13,32.1,16.75,4.97,6.78,0.13,53,189.1,144.1,2648,2187,3019,258.55,76.75,78.32,23.25,246.49,73.17,90.38,26.83,192.98,57.29,89.09,26.45,54.8,16.27,2,1,csv_1000.csv
orange,,italic,Steam,76561198021360335,23,Octane,340,356,0,0,2,2,4,2,2,0.0,397,61.97,2371,1877,494,25,45,382,162,220,2,19,49.95,43.33,256,573,38,1626,523616,127.32,37.78,145.51,43.18,64.15,19.04,157.25,46.66,164.95,48.95,14.78,4.39,4.13,0.13,32,163.6,165.4,2516,2458,2571,238.59,70.8,98.39,29.2,208.27,61.8,128.71,38.2,142.17,42.19,115.55,34.29,79.27,23.52,2,1,csv_1000.csv
orange,,Uairobag,Steam,76561198133916245,23,Octane,340,304,1,0,0,4,4,2,0,25.0,352,52.54,1992,1606,386,20,26,564,399,165,5,7,44.61,54.5,147,308,100,1508,484118,156.56,46.56,133.76,39.78,45.9,13.65,180.22,53.6,130.38,38.78,25.62,7.62,5.57,0.13,43,168.6,160.6,2280,1959,2604,247.86,73.72,88.36,26.28,207.24,61.64,128.98,38.36,147.32,43.82,108.18,32.17,80.73,24.01,1,1,csv_1000.csv
blue,,Bullzkies,Epic,6c0fac11a7704b4fa614a846b10991ab,23,Octane,394,1127,5,1,4,7,13,4,2,71.43,437,44.06,2731,2104,627,23,55,464,295,169,3,15,71.52,45.68,141,208,8,1487,519756,195.74,50.49,145.22,37.46,46.73,12.05,184.54,47.6,173.32,44.71,29.83,7.69,3.95,0.13,31,203.1,161.0,2288,2068,2590,307.87,79.41,79.81,20.59,272.38,70.26,115.3,29.74,216.87,55.94,106.83,27.56,63.98,16.5,1,2,csv_1001.csv
blue,,Yung Bo0,Epic,963425c7e80448c58b3879563561208d,23,Octane,394,584,1,1,4,4,13,4,2,25.0,404,51.45,2487,1674,813,18,72,369,176,193,2,17,38.17,31.5,471,136,25,1494,528048,195.66,50.06,143.32,36.67,51.87,13.27,237.31,60.72,145.42,37.21,8.12,2.08,6.12,0.17,35,168.2,199.0,2574,2490,2560,279.8,71.59,111.06,28.41,266.03,68.06,124.82,31.94,209.12,53.5,109.78,28.09,71.96,18.41,1,1,csv_1001.csv
orange,,italic,Steam,76561198021360335,23,Octane,394,797,2,2,4,6,11,6,4,33.33,403,50.52,2604,1992,612,26,53,576,230,346,3,29,69.13,25.78,485,275,0,1612,569297,161.74,41.39,167.4,42.84,61.59,15.76,217.03,55.54,157.71,40.36,15.99,4.09,4.6,0.14,33,194.3,170.4,2530,2259,2731,279.53,71.54,111.2,28.46,223.04,57.08,167.69,42.92,167.29,42.81,113.35,29.01,110.09,28.18,1,1,csv_1001.csv
orange,,Pablaze_,Steam,76561199074249657,23,Octane,394,502,2,2,0,7,11,6,2,28.57,396,49.45,2584,2031,553,25,53,641,433,208,5,20,22.46,52.09,342,494,75,1529,541297,195.0,49.88,146.01,37.35,49.93,12.77,232.39,59.44,143.66,36.75,14.89,3.81,7.81,0.14,56,173.2,191.6,2689,2707,2710,271.4,69.42,119.53,30.58,224.33,57.38,166.6,42.62,164.6,42.1,117.65,30.09,108.68,27.8,2,1,csv_1001.csv
blue,,Shmoule,Steam,76561198037495714,23,Octane,434,1050,5,0,2,9,7,5,3,55.56,230,52.59,1701,790,911,12,81,300,117,183,3,16,45.58,41.11,56,448,182,1478,573420,241.01,55.69,161.19,37.25,30.57,7.06,250.27,57.83,168.23,38.87,14.27,3.3,4.22,0.11,37,194.8,211.7,2576,2366,2721,342.39,79.12,90.38,20.88,278.23,64.29,154.54,35.71,202.82,46.87,151.13,34.92,78.81,18.21,0,0,csv_1002.csv
blue,,LaSauceColcow,PS4,LaSauceColcow,23,Octane,434,497,1,3,0,5,7,5,2,20.0,305,46.02,2158,1491,667,20,60,483,229,254,3,22,39.38,62.98,292,524,74,1437,537791,231.31,55.09,161.73,38.52,26.8,6.38,282.97,67.4,129.92,30.95,6.94,1.65,7.46,0.14,52,212.2,179.7,2638,2538,2716,346.21,82.46,73.62,17.54,266.24,63.41,153.6,36.59,205.28,48.89,130.76,31.15,83.8,19.96,1,4,csv_1002.csv
orange,,italic,Steam,76561198021360335,23,Octane,434,884,3,0,5,4,14,6,2,75.0,425,52.91,3175,2492,683,32,59,616,465,151,6,14,41.61,46.17,490,450,65,1554,602496,207.85,48.12,153.85,35.62,70.24,16.26,253.33,58.65,162.07,37.52,16.55,3.83,7.19,0.16,46,210.5,186.7,2611,2416,2857,306.3,70.91,125.64,29.09,305.45,70.72,126.49,29.28,239.5,55.45,115.92,26.84,76.52,17.72,4,0,csv_1002.csv
orange,,Connor SSL,XBox,0d6c630e00000900,23,Octane,434,709,2,2,2,3,14,6,4,66.67,449,52.28,3034,2517,517,33,48,536,431,105,6,11,35.81,54.65,605,798,168,1549,590802,190.3,44.68,179.03,42.04,56.57,13.28,236.39,55.5,162.19,38.08,27.33,6.42,4.4,0.15,29,186.1,205.0,2548,2322,2893,307.77,72.26,118.13,27.74,307.0,72.08,118.9,27.92,235.99,55.41,111.27,26.13,78.64,18.46,0,1,csv_1002.csv
blue,,SammyS_16,PS4,SammyS_16,23,Octane,327,496,0,0,5,0,12,3,1,0.0,328,59.64,1833,1266,567,17,49,266,158,108,2,9,29.86,57.42,254,447,41,1399,436115,179.79,54.88,122.73,37.46,25.07,7.65,211.8,64.65,110.25,33.65,5.54,1.69,6.12,0.08,72,191.2,129.2,2699,2716,2628,244.42,74.61,83.17,25.39,243.89,74.45,83.7,25.55,183.47,56.01,112.76,34.42,31.36,9.57,0,0,csv_1003.csv
blue,,italic,Steam,76561198021360335,23,Octane,327,456,1,0,2,4,12,3,2,25.0,445,58.41,2303,1761,542,25,40,647,400,247,4,14,36.07,30.63,364,469,1,1648,503515,118.08,36.75,131.84,41.04,71.36,22.21,176.36,54.89,125.81,39.16,19.11,5.95,5.81,0.15,38,130.1,185.7,2240,1969,2564,211.76,65.91,109.52,34.09,210.73,65.59,110.54,34.41,162.12,50.46,99.56,30.99,59.6,18.55,0,2,csv_1003.csv
orange,,Bell41o,Epic,21ba7f2485d743d2b64719b80daf55a9,23,Octane,327,673,3,0,1,9,4,1,1,33.33,382,58.1,2066,1544,522,18,49,390,266,124,3,12,31.66,80.55,275,301,38,1540,479928,149.78,45.75,127.67,39.0,49.93,15.25,187.18,57.17,124.72,38.1,15.49,4.73,5.71,0.1,58,184.2,131.1,2878,2579,3187,275.9,84.28,51.48,15.72,217.76,66.52,109.62,33.48,166.54,50.87,101.09,30.88,59.75,18.25,1,0,csv_1003.csv
orange,,LaSauceColcow,PS4,LaSauceColcow,23,Octane,327,442,0,2,2,3,4,1,0,0.0,341,56.21,1849,1329,520,18,49,477,286,191,4,18,30.63,56.05,274,427,56,1472,458665,165.45,50.52,128.37,39.2,33.67,10.28,199.23,60.84,119.03,36.35,9.22,2.82,5.96,0.16,37,129.8,185.6,2469,2380,2576,259.98,79.39,67.51,20.61,175.06,53.46,152.43,46.54,115.97,35.41,114.88,35.08,96.64,29.51,1,0,csv_1003.csv
blue,,italic,Steam,76561198021360335,23,Octane,338,805,1,1,6,5,12,1,0,20.0,420,52.17,2365,1733,632,22,56,413,232,181,3,17,45.91,34.87,367,335,68,1584,503810,139.33,41.64,139.27,41.62,56.04,16.75,177.23,52.96,143.41,42.86,14.0,4.18,5.88,0.17,35,158.1,169.3,2189,2191,2178,232.05,69.35,102.58,30.65,236.57,70.7,98.06,29.3,194.04,57.99,85.61,25.58,54.98,16.43,2,1,csv_1004.csv
