shots-a,shots conceded-a,bpm-a,avg boost amount-a,amount collected-a,amount collected big pads-a,amount collected small pads-a,count collected big pads-a,count collected small pads-a,amount stolen-a,amount stolen big pads-a,amount stolen small pads-a,count stolen big pads-a,count stolen small pads-a,0 boost time-a,100 boost time-a,amount used while supersonic-a,amount overfill total-a,amount overfill stolen-a,avg speed-a,total distance-a,time slow speed-a,percentage slow speed-a,time boost speed-a,percentage boost speed-a,time supersonic speed-a,percentage supersonic speed-a,time on ground-a,percentage on ground-a,time low in air-a,percentage low in air-a,time high in air-a,percentage high in air-a,time powerslide-a,avg powerslide time-a,count powerslide-a,time most back-a,time most forward-a,avg distance to ball-a,avg distance to ball has possession-a,avg distance to ball no possession-a,time behind ball-a,percentage behind ball-a,time in front of ball-a,percentage in front of ball-a,time defensive half-a,percentage defensive half-a,time offensive half-a,percentage offensive half-a,time defensive third-a,percentage defensive third-a,time neutral third-a,percentage neutral third-a,time offensive third-a,percentage offensive third-a,demos inflicted-a,demos taken-a,bpm-b,avg boost amount-b,amount collected-b,amount collected big pads-b,amount collected small pads-b,count collected big pads-b,count collected small pads-b,amount stolen-b,amount stolen big pads-b,amount stolen small pads-b,count stolen big pads-b,count stolen small pads-b,0 boost time-b,100 boost time-b,amount used while supersonic-b,amount overfill total-b,amount overfill stolen-b,avg speed-b,total distance-b,time slow speed-b,percentage slow speed-b,time boost speed-b,percentage boost speed-b,time supersonic speed-b,percentage supersonic speed-b,time on ground-b,percentage on ground-b,time low in air-b,percentage low in air-b,time high in air-b,percentage high in air-b,time powerslide-b,avg powerslide time-b,count powerslide-b,time most back-b,time most forward-b,avg distance to ball-b,avg distance to ball has possession-b,avg distance to ball no possession-b,time behind ball-b,percentage behind ball-b,time in front of ball-b,percentage in front of ball-b,time defensive half-b,percentage defensive half-b,time offensive half-b,percentage offensive half-b,time defensive third-b,percentage defensive third-b,time neutral third-b,percentage neutral third-b,time offensive third-b,percentage offensive third-b,result,gd
11.0,7.0,419.0,46.38,2294.5,1753.5,541.0,20.5,47.5,726.5,481.5,245.0,5.5,21.5,59.96,28.215,317.5,273.0,67.5,1572.5,502797.5,148.375,43.695,135.33499999999998,39.855,55.895,16.455,187.41,55.19,140.875,41.48,11.315,3.33,5.29,0.15,35.0,161.5,161.0,2379.5,2296.0,2489.5,245.47,72.285,94.135,27.715,175.48000000000002,51.68,164.12,48.32,126.135,37.145,106.715,31.43,106.755,31.425,2.0,0.0,422.0,48.675,2236.0,1741.0,495.0,20.5,45.0,528.0,364.5,163.5,4.0,14.0,42.345,49.275,231.5,283.0,35.0,1491.5,469689.5,163.635,49.015,118.44,35.485,51.83,15.505,181.235,54.24,141.115,42.3,11.545,3.46,8.209999999999999,0.09,94.5,167.05,161.14999999999998,2245.0,1977.0,2431.5,235.145,70.41,98.755,29.59,223.81,67.03,110.09,32.97,165.85500000000002,49.67,108.49,32.495000000000005,59.56,17.835,1,2.0
5.0,7.0,386.0,48.355,2079.0,1488.0,591.0,17.5,52.0,338.0,188.0,150.0,2.5,12.5,30.76,35.745,295.0,268.0,61.0,1555.0,466596.5,141.555,44.275,132.925,41.62,44.975,14.1,171.865,53.77,132.785,41.575,14.805,4.655,8.58,0.16,51.0,157.15,154.9,2456.5,2320.5,2587.0,220.895,69.145,98.56,30.855,220.955,69.19,98.495,30.81,176.81,55.39,85.41499999999999,26.705,57.235,17.905,0.0,1.5,471.5,48.95,2479.5,1825.5,654.0,22.0,56.0,706.5,480.5,226.0,5.5,18.0,37.655,25.9,368.5,391.5,71.5,1611.5,491713.5,129.3,39.86,139.22500000000002,42.92,55.855,17.215,187.705,57.865,122.04,37.620000000000005,14.64,4.51,7.16,0.12,61.5,152.75,152.8,2508.5,2513.5,2551.0,249.82,77.015,74.56,22.985,184.635,56.92,139.745,43.08,131.825,40.64,108.77,33.53,83.78,25.825000000000003,0,-3.0
5.0,11.0,487.5,49.565,3028.0,2436.0,592.0,29.5,53.5,404.0,245.0,159.0,3.0,16.0,49.145,43.13,667.5,480.5,64.0,1623.5,560636.0,165.695,42.65,137.385,35.345,85.54,21.995,220.82,56.84,143.32999999999998,36.87,24.47,6.29,5.77,0.11,57.5,184.75,185.75,2554.5,2192.5,2934.0,266.13,68.465,122.49,31.535000000000004,247.57,63.715,141.05,36.285,180.265,46.4,122.325,31.465000000000003,86.03,22.135,2.0,0.5,408.0,42.08,2367.5,1729.0,638.5,20.5,56.5,357.5,179.5,178.0,2.0,15.5,45.855,27.785,466.0,325.0,14.5,1553.0,530370.5,175.31,45.91,142.98000000000002,37.375,63.64,16.715,220.135,57.61,136.41500000000002,35.75,25.375,6.645,5.880000000000001,0.0849999999999999,66.0,184.0,185.55,2349.0,2030.5,2656.5,286.42499999999995,75.035,95.505,24.965,246.985,64.7,134.945,35.3,179.63,47.045,126.895,33.215,75.405,19.74,0,-3.0
6.0,4.0,374.5,57.255,2181.5,1741.5,440.0,22.5,35.5,473.0,280.5,192.5,3.5,13.0,47.28,48.915,201.5,440.5,69.0,1567.0,503867.0,141.94,42.17,139.635,41.48,55.025000000000006,16.345,168.735,50.13,147.665,43.865,20.2,6.005,4.85,0.13,37.5,166.1,163.0,2398.0,2208.5,2587.5,243.225,72.25999999999999,93.375,27.74,207.755,61.72,128.845,38.28,144.745,43.005,111.865,33.230000000000004,80.0,23.765,1.5,1.0,375.0,45.265,2034.0,1390.0,644.0,17.5,49.0,418.5,229.0,189.5,2.5,16.5,49.99,37.775000000000006,258.0,365.0,23.0,1494.5,476284.5,162.915,48.565,129.475,38.615,42.985,12.815,197.585,58.895,123.315,36.79,14.48,4.315,5.82,0.135,43.5,168.25,163.55,2737.0,2358.5,3053.0,245.98,73.33,89.395,26.67,231.86,69.11500000000001,103.515,30.885,175.845,52.415,98.105,29.265,61.425,18.325,0,-1.0
13.0,11.0,399.5,49.985,2594.0,2011.5,582.5,25.5,53.0,608.5,331.5,277.0,4.0,24.5,45.795,38.935,413.5,384.5,37.5,1570.5,555297.0,178.37,45.635000000000005,156.70499999999998,40.095,55.760000000000005,14.265,224.71,57.49,150.685,38.555,15.44,3.95,6.205,0.14,44.5,183.75,181.0,2609.5,2483.0,2720.5,275.465,70.48,115.365,29.52,223.685,57.23,167.14499999999998,42.77,165.945,42.455,115.5,29.55,109.385,27.99,1.5,1.0,420.5,47.755,2609.0,1889.0,720.0,20.5,63.5,416.5,235.5,181.0,2.5,16.0,54.845,38.59,306.0,172.0,16.5,1490.5,523902.0,195.7,50.275000000000006,144.26999999999998,37.065,49.3,12.66,210.925,54.16,159.37,40.96,18.975,4.885,5.035,0.15,33.0,185.65,180.0,2431.0,2279.0,2575.0,293.83500000000004,75.5,95.435,24.5,269.205,69.16,120.06,30.84,212.995,54.72,108.305,27.825,67.97,17.455,0,-2.0
7.0,14.0,437.0,52.595,3104.5,2504.5,600.0,32.5,53.5,576.0,448.0,128.0,6.0,12.5,38.71,50.41,547.5,624.0,116.5,1551.5,596649.0,199.075,46.4,166.44,38.83,63.405,14.77,244.86,57.075,162.13,37.8,21.94,5.125,5.795,0.155,37.5,198.3,195.85,2579.5,2369.0,2875.0,307.035,71.58500000000001,121.885,28.415,306.225,71.4,122.695,28.6,237.745,55.43,113.595,26.485,77.58,18.09,2.0,0.5,267.5,49.30500000000001,1929.5,1140.5,789.0,16.0,70.5,391.5,173.0,218.5,3.0,19.0,42.48,52.045,174.0,486.0,128.0,1457.5,555605.5,236.16,55.39,161.45999999999998,37.885000000000005,28.685,6.72,266.62,62.615,149.075,34.91,10.605,2.475,5.84,0.125,44.5,203.5,195.7,2607.0,2452.0,2718.5,344.29999999999995,80.78999999999999,82.0,19.21,272.235,63.85,154.07,36.150000000000006,204.05,47.88,140.945,33.035,81.305,19.085,0,-1.0
4.0,12.0,386.5,59.025,2068.0,1513.5,554.5,21.0,44.5,456.5,279.0,177.5,3.0,11.5,32.965,44.025,309.0,458.0,21.0,1523.5,469815.0,148.935,45.815,127.285,39.25,48.215,14.93,194.08,59.77,118.03,36.405,12.325,3.82,5.965,0.1149999999999999,55.0,160.64999999999998,157.45,2469.5,2342.5,2596.0,228.09,70.25999999999999,96.345,29.74,227.31,70.02000000000001,97.12,29.98,172.79500000000002,53.235,106.16,32.705,45.48,14.06,0.0,1.0,361.5,57.155,1957.5,1436.5,521.0,18.0,49.0,433.5,276.0,157.5,3.5,15.0,31.145,68.3,274.5,364.0,47.0,1506.0,469296.5,157.615,48.135000000000005,128.02,39.1,41.8,12.765,193.205,59.005,121.875,37.225,12.355,3.775,5.835,0.13,47.5,157.0,158.35,2673.5,2479.5,2881.5,267.94,81.83500000000001,59.495000000000005,18.165,196.41,59.99,131.025,40.01,141.255,43.14,107.985,32.98,78.195,23.880000000000003,0,-2.0
9.0,12.0,388.5,51.765,2137.5,1514.0,623.5,19.0,51.5,251.5,116.0,135.5,1.5,12.5,47.435,39.795,318.5,322.5,34.0,1459.5,466606.0,170.41500000000002,50.66,124.035,36.92,41.69,12.425,191.155,56.85,132.93,39.565,12.06,3.59,4.695,0.16,29.0,165.39999999999998,163.5,2194.0,2179.5,2206.0,237.11,70.535,99.025,29.465,246.865,73.43,89.275,26.57,202.385,60.2,81.475,24.245,52.275,15.555,1.5,0.5,391.5,54.45,2291.5,1872.0,419.5,23.0,37.0,432.0,245.0,187.0,3.5,16.5,29.05,32.46,408.0,435.0,110.0,1492.5,472230.5,156.54500000000002,47.11,133.68,40.21,42.035,12.68,199.885,60.150000000000006,121.35,36.52,11.025,3.33,6.29,0.16,40.0,168.60000000000002,163.3,2383.5,2304.5,2458.5,244.555,73.62,87.705,26.380000000000003,163.515,49.205,168.745,50.795,119.25,35.875,98.08,29.535,114.935,34.59,1,1.0
4.0,8.0,403.0,53.26,2451.0,1936.0,515.0,23.5,45.5,425.0,289.0,136.0,3.5,12.0,41.03,48.23,358.5,346.0,64.0,1469.5,489274.0,184.185,51.705,121.81,34.155,50.45,14.14,202.53,56.85,138.9,38.94,15.01,4.21,5.555,0.185,30.5,172.3,170.15,2243.5,2051.5,2377.0,243.12,68.22,113.325,31.78,253.0,70.99000000000001,103.435,29.01,203.41,57.08,92.735,26.015,60.3,16.905,1.0,1.0,385.5,45.61,2261.5,1678.0,583.5,20.0,52.5,557.5,296.0,261.5,4.0,23.0,36.545,27.795,152.0,290.0,64.5,1446.5,479651.0,176.97,49.815,146.325,41.22,31.97,8.965,196.89,55.43000000000001,146.0,41.1,12.375,3.475,6.720000000000001,0.145,47.0,177.4,170.5,2426.0,2355.5,2477.0,272.22,76.63499999999999,83.05000000000001,23.365,189.98,53.515,165.25,46.485,137.035,38.615,113.975,32.05,104.255,29.335,0,-1.0
4.0,9.0,408.5,54.35,2440.0,1893.0,547.0,26.5,48.5,385.0,209.5,175.5,3.5,15.5,44.65,29.78,372.0,448.0,25.0,1514.0,506082.0,169.4,46.545,146.445,40.205,48.425,13.255,210.57,57.835,142.92000000000002,39.215,10.79,2.955,4.645,0.135,34.5,171.7,170.75,2363.5,2200.5,2442.0,240.075,65.9,124.2,34.1,231.675,63.6,132.59500000000003,36.4,168.85500000000002,46.35,116.445,31.97,78.97,21.68,0.0,0.0,368.0,49.870000000000005,2287.5,1575.0,712.5,18.5,63.0,325.5,100.0,225.5,1.0,20.0,43.435,30.415,246.5,292.5,12.5,1560.5,524093.0,161.845,44.255,156.485,42.775000000000006,47.45,12.97,211.595,57.85,142.685,39.005,11.5,3.145,8.92,0.09,101.5,170.35,169.7,2467.0,2297.5,2609.5,287.91,78.71000000000001,77.86500000000001,21.29,230.885,63.125,134.89499999999998,36.875,168.95499999999998,46.195,113.535,31.035,83.28999999999999,22.770000000000003,0,-4.0
